0,1,2,3,4,5,6
L,,,35,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,aaa,0
L,,,,,,0
L,,,,se,,0
R,183,5,37,,,0
R,,,,,,0
L,,,,ee,,0
L,186,5,,FAULKNER,,0
R,,,,,,0
L,186,5,,FAULKNER,GULBIS,2
L,186,5,,FAULKNER,,0
L,188,5,,FAULKNER,,0
L,188,5,,,GULBIS,2
L,189,5,17,FAULKNER,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,OOo,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,Jig,ee,0
R,,,,state,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,ww,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,Wid,0
R,,,,,AUG,0
R,,,,,ROT,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,,,,,,0
L,,,,,HUGHES,0
R,,,,,,0
L,,,,,Nya,0
L,5,0,4,DENLY,HUGHES,0
L,5,0,,DENLY,HUGHES,0
L,5,0,,me,,0
L,5,0,,,,0
L,,,,DENLY,HUGHES,0
R,,,,,,0
L,,,,DENLY,HUGHES,0
L,,,,DENLY,,0
R,7,1,,DENLY,HUGHES,0
R,,,,,,0
R,,,,iy,Yl,0
R,,,,,,0
R,,,,,,0
L,,,,,HUGHES,0
R,,,,,,0
R,,,,,,0
L,13,1,,DENLY,,0
L,,,,,,0
R,,,,,,0
L,,,,DENLY,,0
R,,,,,,0
L,,,,THISOVER,,0
L,14,1,,,,0
R,,,,,,0
L,,,,DENLY,,0
L,,,,ae,,0
L,,,,DENLY,,0
R,,,,Oa,SANS,0
R,,,,,,0
L,,,,DENLY,,0
R,16,1,,,,0
R,,,,,,0
L,16,1,,DENLY,,0
R,,,,,,0
L,,,,DENLY,,0
L,26,1,,,,0
R,,,,,,0
L,,,,DENLY,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,26,1,,DENLY,,0
R,26,1,34,DENLY,,0
R,,,,,,0
R,,,,,,0
R,33,1,,DENLY,,0
R,33,1,,DENLY,,0
R,33,1,,,,0
L,33,1,,THISOVER,,0
R,37,1,43,DENLY,,0
R,,,,,,0
L,39,1,,DENLY,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,,,,DENLY,,0
R,,,,,,0
R,45,1,,DENLY,,0
R,,,,DENLY,,0
R,,,,,,0
L,,,,THISOVER,,0
R,,,,,,0
L,,,30,THISOVER,,0
R,,,,,,0
L,57,1,,ae,,0
L,,,45,THISOVER,,0
L,61,1,45,THISOVER,,0
L,65,1,,,a,0
L,,,,THISOVER,,0
R,,,,,ALY,0
R,,,,,,0
L,65,1,,DENLY,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
L,66,1,,DENLY,,0
L,66,1,,DENLY,,0
L,,,4,DENLY,,0
L,,,4,DENLY,,0
R,66,1,,,,0
L,66,1,,DENLY,,0
L,67,1,,DENLY,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
R,,,,,,0
R,,,,,,0
R,,,,,UFF,0
R,71,1,,,,0
L,,,24,DENLY,,0
R,,,,,,0
L,,,,DENLY,,0
R,75,1,4,,ome,0
L,,,4,DENLY,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
R,,,,DENLY,,0
R,,,,,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,81,1,21,DENLY,,0
L,81,1,,DENLY,,0
R,81,1,,DENLY,,0
R,,,,IVON,UFF,0
L,82,1,,DENLY,,0
L,,,,DENLY,,0
R,,,,DENLY,,0
L,87,1,,DENLY,,0
R,,,,,,0
L,88,1,,DENLY,,0
L,,,,DENLY,,0
L,,,75,THISOVER,,0
L,,,,,,0
R,,,,,ala,0
R,,,,,,0
R,,,,DENLY,,0
L,,,,DENLY,,0
R,,,,,,0
L,96,1,,DENLY,,0
L,96,1,,ON,,0
L,,,,aoe,a,0
R,,,,,,0
R,,,,,,0
R,102,1,,BOUNDARIES,,0
L,,,,,,0
R,,,,ON,eri,0
R,,,,,,0
L,110,1,,,Re,0
R,,,,,,0
R,,,,,,0
R,,,,DENLY,,0
L,,,,DENLY,,0
R,113,1,,DENLY,,0
R,,,,,,0
R,,,,DENLY,,0
R,114,1,,DENLY,,0
R,,,,DENLY,,0
R,,,,,,0
R,,,,DENLY,,0
R,,,,,,0
R,,,,,,0
L,115,2,,DENLY,,0
L,115,2,,ae,,0
R,,,,,a,0
R,,,,,,0
R,116,2,,DENLY,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
R,,,,,,0
R,,,,,,0
L,116,2,,DENLY,,0
L,,,,DENLY,oon,0
L,116,2,,DENLY,,0
L,,,,DENLY,,0
R,,,,,,0
L,,,,DENLY,,0
R,,,,aa,,0
L,119,2,,DENLY,,0
L,,,,DENLY,,0
